id,smoker_pred,smoker_prob
159256,0,0.47374502
159257,0,0.3029705
159258,0,0.46341196
159259,0,0.025163723
159260,1,0.6212583
159261,1,0.89208084
159262,0,0.42928168
159263,0,0.103798166
159264,0,0.104758054
159265,0,0.03636713
159266,1,0.6122341
159267,0,0.19830093
159268,0,0.005455367
159269,0,0.15501595
159270,0,0.0040592006
159271,1,0.62528455
159272,1,0.78843564
159273,1,0.7528496
159274,0,0.10194165
159275,0,0.42718676
159276,0,0.42536277
159277,1,0.8292818
159278,1,0.57901746
159279,1,0.6971023
159280,0,0.11423883
159281,1,0.77777916
159282,1,0.78610253
159283,1,0.76377547
159284,1,0.7125122
159285,0,0.0035081932
159286,1,0.7441548
159287,0,0.014674793
159288,0,0.24814652
159289,1,0.6589682
159290,1,0.5997599
159291,0,0.4319058
159292,0,0.060651932
159293,0,0.13373175
159294,0,0.28564665
159295,1,0.6680215
159296,1,0.85055107
159297,0,0.011246167
159298,0,0.18830144
159299,0,0.0006763464
159300,0,0.021796081
159301,0,0.017194467
159302,0,0.12026743
159303,0,0.20502716
159304,0,0.34435654
159305,1,0.7185466
159306,1,0.742111
159307,0,0.13558643
159308,0,0.41022676
159309,0,0.120636955
159310,0,0.4440528
159311,1,0.5806885
159312,0,0.31325012
159313,1,0.5424288
159314,1,0.5474369
159315,1,0.6269333
159316,0,0.018459957
159317,1,0.6300025
159318,0,0.39091262
159319,1,0.71051323
159320,1,0.70636666
159321,0,0.09466045
159322,1,0.66084653
159323,1,0.6123347
159324,0,0.10952171
159325,0,0.41139343
159326,1,0.570888
159327,1,0.60488105
159328,1,0.5173474
159329,0,0.47999328
159330,0,0.023352334
159331,1,0.799371
159332,0,0.010975492
159333,0,0.0014492514
159334,0,0.35022476
159335,0,0.13602042
159336,0,0.43732256
159337,1,0.73217046
159338,0,0.41294155
159339,1,0.9097111
159340,1,0.5142366
159341,1,0.82038647
159342,1,0.82271504
159343,0,0.44650835
159344,0,0.40700933
159345,0,0.0043347096
159346,1,0.55275637
159347,1,0.6528054
159348,1,0.7697342
159349,0,0.004901192
159350,0,0.02188211
159351,1,0.7153268
159352,0,0.30022067
159353,0,0.44851178
159354,0,0.012824413
159355,1,0.86525923
159356,1,0.75485826
159357,1,0.89039737
159358,0,0.3254814
159359,1,0.55522156
159360,0,0.07279445
159361,1,0.82785976
159362,0,0.053043954
159363,1,0.68648845
159364,1,0.81909823
159365,1,0.76387393
159366,0,0.011014817
159367,0,0.4522887
159368,0,0.48044968
159369,1,0.6760252
159370,0,0.39128745
159371,0,0.49370083
159372,0,0.11925032
159373,1,0.7462976
159374,0,0.47705403
159375,1,0.8904887
159376,1,0.7404867
159377,0,0.0019168558
159378,1,0.80771613
159379,0,0.37828723
159380,0,0.07565219
159381,0,0.017996926
159382,0,0.49299458
159383,0,0.014134197
159384,1,0.6111222
159385,0,0.017946087
159386,1,0.57064956
159387,1,0.8508616
159388,1,0.72385186
159389,0,0.0028256758
159390,1,0.69417995
159391,0,0.488093
159392,1,0.74081945
159393,0,0.018520549
159394,0,0.2469197
159395,1,0.81165296
159396,1,0.780903
159397,1,0.6212598
159398,1,0.807571
159399,1,0.79701525
159400,1,0.6318063
159401,1,0.7680179
159402,0,0.020529998
159403,0,0.08941212
159404,1,0.8370713
159405,0,0.014086111
159406,0,0.2317582
159407,0,0.0675215
159408,0,0.010415694
159409,1,0.8427138
159410,1,0.6234924
159411,1,0.95918036
159412,1,0.7937586
159413,1,0.74498427
159414,0,0.11775633
159415,0,0.41641688
159416,0,0.46565288
159417,0,0.43004078
159418,1,0.6679494
159419,0,0.04248744
159420,1,0.72349924
159421,1,0.5943894
159422,0,0.11952102
159423,0,0.008626143
159424,0,0.022744054
159425,1,0.5720115
159426,0,0.08085655
159427,0,0.074920684
159428,0,0.0021451039
159429,0,0.20697796
159430,0,0.023220124
159431,1,0.85679966
159432,0,0.009700351
159433,0,0.14236009
159434,0,0.25568587
159435,0,0.4668084
159436,1,0.7266245
159437,0,0.06120605
159438,1,0.6635195
159439,0,0.20979758
159440,0,0.07579937
159441,1,0.870701
159442,0,0.39116204
159443,0,0.008238595
159444,0,0.039455846
159445,1,0.6657334
159446,1,0.88683784
159447,0,0.44463062
159448,1,0.81898415
159449,0,0.38630414
159450,0,0.0010866672
159451,1,0.8351766
159452,1,0.5044421
159453,0,0.14309758
159454,1,0.7618318
159455,1,0.7166905
159456,0,0.0028166268
159457,1,0.57766575
159458,1,0.7270231
159459,1,0.5475872
159460,0,0.13208032
159461,1,0.6026771
159462,0,0.054181598
159463,0,0.016363174
159464,0,0.33782586
159465,0,0.35906813
159466,0,0.07606358
159467,1,0.81185013
159468,1,0.8575081
159469,1,0.5732395
159470,1,0.82836884
159471,1,0.6968791
159472,1,0.8464333
159473,0,0.07005407
159474,0,0.29772672
159475,0,0.3843111
159476,0,0.060680956
159477,0,0.11642729
159478,1,0.78277546
159479,0,0.109789304
159480,0,0.28527594
159481,0,0.2177252
159482,1,0.825926
159483,0,0.028869115
159484,0,0.017701086
159485,0,0.20154472
159486,0,0.09196773
159487,0,0.09117619
159488,1,0.5221354
159489,0,0.118328825
159490,1,0.6184179
159491,1,0.8918742
159492,0,0.29523724
159493,1,0.797289
159494,0,0.010494952
159495,0,0.0026716576
159496,1,0.78196234
159497,0,0.3599774
159498,0,0.47674802
159499,1,0.705153
159500,0,0.13214259
159501,1,0.64333606
159502,1,0.9442858
159503,0,0.015235095
159504,1,0.6288923
159505,0,0.01964166
159506,1,0.88645494
159507,1,0.7749451
159508,1,0.86767364
159509,1,0.83248097
159510,0,0.014876019
159511,0,0.0014280234
159512,0,0.05339756
159513,0,0.4182598
159514,0,0.13211662
159515,1,0.67084724
159516,1,0.59760016
159517,0,0.03518363
159518,0,0.011489325
159519,0,0.2057424
159520,0,0.1896835
159521,1,0.9637454
159522,1,0.65220016
159523,0,0.004811205
159524,1,0.6263351
159525,0,0.007575768
159526,0,0.31630027
159527,0,0.009526278
159528,0,0.44161683
159529,1,0.7507045
159530,1,0.6336532
159531,0,0.18389617
159532,1,0.9031771
159533,1,0.85246605
159534,1,0.5798502
159535,1,0.55095774
159536,0,0.014393141
159537,0,0.30768526
159538,1,0.7052788
159539,1,0.83651197
159540,0,0.0013156246
159541,0,0.26978704
159542,0,0.426422
159543,0,0.012412773
159544,1,0.5698469
159545,1,0.54790175
159546,0,0.49792483
159547,1,0.5422737
159548,1,0.6296208
159549,0,0.03140016
159550,0,0.013573248
159551,1,0.74504197
159552,1,0.73293996
159553,0,0.36217418
159554,0,0.06463877
159555,1,0.8657311
159556,1,0.8357111
159557,1,0.83094263
159558,0,0.115630835
159559,1,0.79778814
159560,0,0.020629263
159561,1,0.88748187
159562,1,0.9410599
159563,0,0.34834662
159564,0,0.012150724
159565,0,0.09231182
159566,0,0.17757916
159567,1,0.8597391
159568,1,0.6860337
159569,0,0.03275369
159570,1,0.70994306
159571,0,0.16211863
159572,0,0.46974593
159573,0,0.02508643
159574,1,0.8217905
159575,0,0.032493893
159576,0,0.12291245
159577,1,0.7415558
159578,0,0.45923612
159579,0,0.035411872
159580,1,0.60434866
159581,0,0.09126652
159582,0,0.4800933
159583,1,0.7539939
159584,0,0.49895328
159585,0,0.4064434
159586,0,0.37985498
159587,1,0.89699364
159588,1,0.81734854
159589,1,0.75294334
159590,1,0.8394433
159591,1,0.7574057
159592,0,0.019831117
159593,1,0.74193656
159594,0,0.029217407
159595,1,0.71436924
159596,1,0.7122842
159597,0,0.437068
159598,0,0.028217481
159599,0,0.009003582
159600,0,0.004118897
159601,1,0.6677283
159602,0,0.1247463
159603,1,0.72715735
159604,0,0.3249717
159605,0,0.44418097
159606,0,0.0054035187
159607,0,0.032455232
159608,1,0.8363991
159609,0,0.48167336
159610,0,0.0022790257
159611,0,0.028993959
159612,1,0.5610517
159613,1,0.7954022
159614,0,0.014366399
159615,0,0.032259062
159616,0,0.17209665
159617,0,0.05244238
159618,1,0.78835475
159619,0,0.034892533
159620,1,0.6330222
159621,1,0.77776766
159622,1,0.7765086
159623,1,0.59494865
159624,0,0.018004753
159625,0,0.013795877
159626,0,0.038793977
159627,1,0.515879
159628,1,0.5030856
159629,1,0.8334838
159630,0,0.18423675
159631,0,0.21822926
159632,0,0.09195522
159633,0,0.022759674
159634,1,0.77126646
159635,0,0.005747799
159636,0,0.0407963
159637,0,0.13917102
159638,1,0.74797714
159639,0,0.18317881
159640,0,0.05543068
159641,0,0.09777635
159642,0,0.1052228
159643,0,0.3461631
159644,0,0.38751313
159645,0,0.46606255
159646,0,0.0066363355
159647,1,0.5519183
159648,1,0.53389055
159649,0,0.32459503
159650,1,0.88189304
159651,1,0.86878663
159652,0,0.3832026
159653,0,0.12718004
159654,0,0.045871
159655,1,0.70397174
159656,0,0.09011203
159657,1,0.5247923
159658,0,0.009561941
159659,0,0.002092861
159660,0,0.4229015
159661,1,0.6811171
159662,0,0.48197222
159663,1,0.7704351
159664,0,0.007347089
159665,1,0.59006333
159666,1,0.6024433
159667,0,0.1544538
159668,1,0.8348639
159669,1,0.51636755
159670,0,0.049005214
159671,1,0.7721839
159672,1,0.53219503
159673,1,0.6642285
159674,0,0.42686307
159675,1,0.7759401
159676,0,0.0019860805
159677,0,0.45363274
159678,1,0.61310524
159679,0,0.053114668
159680,1,0.8740192
159681,0,0.29069027
159682,1,0.611734
159683,1,0.5844496
159684,0,0.47883832
159685,1,0.6764557
159686,0,0.075344674
159687,0,0.002410661
159688,1,0.91773194
159689,0,0.15995048
159690,1,0.7261442
159691,1,0.51130337
159692,1,0.8698362
159693,0,0.4501358
159694,1,0.550022
159695,0,0.0013977508
159696,0,0.005468556
159697,0,0.020368207
159698,0,0.20743124
159699,1,0.62621284
159700,0,0.46871132
159701,1,0.74511826
159702,1,0.7068479
159703,0,0.02693545
159704,1,0.6381196
159705,0,0.020856129
159706,0,0.17685026
159707,1,0.7225143
159708,1,0.72750694
159709,1,0.9095577
159710,1,0.908115
159711,1,0.9378154
159712,1,0.677124
159713,1,0.5708352
159714,1,0.5937511
159715,0,0.3854899
159716,1,0.6442585
159717,0,0.008112161
159718,0,0.48668692
159719,0,0.05200932
159720,1,0.6000453
159721,1,0.7741461
159722,0,0.4745254
159723,0,0.025717298
159724,0,0.027888525
159725,1,0.83160514
159726,0,0.025366748
159727,0,0.0016630278
159728,0,0.019182686
159729,0,0.47626954
159730,0,0.2132521
159731,1,0.81598943
159732,0,0.013944043
159733,1,0.59176946
159734,0,0.30732438
159735,0,0.012029013
159736,1,0.64256275
159737,1,0.743094
159738,0,0.010105172
159739,0,0.0103505235
159740,1,0.5528093
159741,0,0.47305214
159742,0,0.38381937
159743,1,0.80696267
159744,1,0.7826296
159745,1,0.63781095
159746,0,0.3320833
159747,0,0.07390531
159748,0,0.254117
159749,0,0.40410066
159750,1,0.6540857
159751,0,0.058263395
159752,0,0.06357547
159753,1,0.6699587
159754,1,0.5253103
159755,0,0.4594889
159756,0,0.10830981
159757,0,0.3213777
159758,1,0.67441565
159759,0,0.039094977
159760,1,0.9350146
159761,0,0.042560767
159762,0,0.35818937
159763,0,0.112210065
159764,1,0.50940746
159765,1,0.5299933
159766,1,0.5770028
159767,0,0.4759288
159768,1,0.90663546
159769,1,0.59236646
159770,1,0.7311786
159771,0,0.020103913
159772,1,0.5023374
159773,0,0.23035473
159774,0,0.2280063
159775,0,0.2649533
159776,0,0.022834344
159777,0,0.47111616
159778,0,0.25457793
159779,1,0.7392347
159780,1,0.71940154
159781,1,0.8210442
159782,0,0.023649868
159783,0,0.1279842
159784,0,0.39975885
159785,0,0.009884993
159786,1,0.88013715
159787,1,0.54958117
159788,0,0.014494737
159789,0,0.05076366
159790,0,0.056770533
159791,1,0.76735777
159792,0,0.45186237
159793,1,0.6159478
159794,0,0.30110574
159795,0,0.13508335
159796,0,0.46375188
159797,1,0.82448035
159798,1,0.69277877
159799,0,0.001640861
159800,0,0.014934355
159801,0,0.04645897
159802,1,0.923127
159803,1,0.71200454
159804,1,0.53661835
159805,0,0.32321045
159806,1,0.85023874
159807,1,0.7104922
159808,0,0.008886978
159809,1,0.61612195
159810,0,0.0017912084
159811,0,0.008411055
159812,1,0.50938886
159813,1,0.5848139
159814,1,0.8834168
159815,1,0.752694
159816,1,0.62631005
159817,1,0.6643725
159818,0,0.0070139775
159819,1,0.79995894
159820,0,0.16940226
159821,0,0.01892156
159822,1,0.572186
159823,0,0.0026789606
159824,1,0.8056343
159825,1,0.721199
159826,0,0.43275735
159827,0,0.0276135
159828,0,0.022310168
159829,0,0.01025179
159830,0,0.1114405
159831,1,0.51810837
159832,0,0.49982926
159833,0,0.29811475
159834,0,0.025024263
159835,1,0.83160406
159836,0,0.023796918
159837,0,0.4255082
159838,0,0.05336646
159839,0,0.2898597
159840,1,0.8220334
159841,1,0.7658625
159842,1,0.7108251
159843,1,0.9321254
159844,0,0.47469443
159845,0,0.011919306
159846,1,0.6422228
159847,0,0.38673496
159848,1,0.5265226
159849,1,0.72770333
159850,0,0.003823225
159851,0,0.4269821
159852,0,0.013520079
159853,0,0.14393613
159854,1,0.92960817
159855,0,0.33846012
159856,0,0.098092765
159857,1,0.5276791
159858,1,0.68909025
159859,0,0.0094218915
159860,1,0.6539447
159861,0,0.02320531
159862,0,0.0012866803
159863,1,0.71109456
159864,0,0.03780464
159865,0,0.0017184934
159866,1,0.6828646
159867,0,0.36821106
159868,1,0.8095892
159869,1,0.63835305
159870,1,0.77254874
159871,0,0.09233139
159872,1,0.6144195
159873,1,0.6958194
159874,0,0.26987153
159875,0,0.24864429
159876,1,0.7536107
159877,0,0.06945443
159878,1,0.5916096
159879,1,0.7071637
159880,1,0.6243999
159881,0,0.038289014
159882,1,0.89166373
159883,1,0.85920566
159884,1,0.8377003
159885,1,0.55471915
159886,0,0.40612257
159887,1,0.6147945
159888,0,0.36876276
159889,1,0.8724911
159890,1,0.7741673
159891,1,0.8993018
159892,0,0.18720232
159893,0,0.018268801
159894,1,0.8446254
159895,1,0.6138407
159896,1,0.66074055
159897,0,0.42813513
159898,1,0.7128983
159899,1,0.85291183
159900,0,0.075088665
159901,1,0.61922807
159902,0,0.18943031
159903,0,0.4122447
159904,0,0.283295
159905,0,0.029246975
159906,1,0.7947056
159907,1,0.7236833
159908,1,0.8172018
159909,0,0.0012259661
159910,1,0.53472656
159911,0,0.47249517
159912,1,0.6376541
159913,0,0.059467807
159914,0,0.033977482
159915,0,0.28370708
159916,0,0.014198192
159917,0,0.01687286
159918,0,0.122383915
159919,1,0.51432943
159920,0,0.17847402
159921,1,0.8753569
159922,0,0.16623574
159923,0,0.22808352
159924,1,0.7615528
159925,1,0.6232214
159926,1,0.8390726
159927,1,0.63350624
159928,1,0.5099016
159929,1,0.789711
159930,0,0.27232403
159931,0,0.44654188
159932,0,0.0036729402
159933,0,0.39800614
159934,0,0.37431288
159935,0,0.21222168
159936,1,0.5678264
159937,0,0.026797198
159938,1,0.67061734
159939,1,0.7563184
159940,1,0.6016138
159941,0,0.35404944
159942,1,0.51863986
159943,0,0.22606112
159944,0,0.011494948
159945,1,0.7930559
159946,1,0.754474
159947,0,0.022678217
159948,0,0.35162964
159949,1,0.73483187
159950,1,0.8826561
159951,0,0.3380936
159952,1,0.73909116
159953,0,0.0070100133
159954,1,0.6082554
159955,0,0.0006353475
159956,1,0.7770883
159957,1,0.78979623
159958,1,0.60291994
159959,0,0.40661067
159960,1,0.82351494
159961,1,0.83450294
159962,0,0.0009222343
159963,1,0.9194667
159964,0,0.04014898
159965,1,0.7419023
159966,1,0.75911915
159967,1,0.7179106
159968,0,0.01126737
159969,1,0.7847757
159970,0,0.023714112
159971,0,0.0033308973
159972,0,0.035080243
159973,1,0.8179396
159974,0,0.32372794
159975,1,0.6931215
159976,1,0.54402995
159977,1,0.7751466
159978,0,0.02136509
159979,1,0.6520129
159980,1,0.8307292
159981,1,0.72457427
159982,1,0.76567066
159983,1,0.8101907
159984,1,0.5399562
159985,1,0.8682622
159986,1,0.8834522
159987,0,0.071099736
159988,1,0.74683017
159989,1,0.6063999
159990,0,0.29280365
159991,0,0.01470959
159992,0,0.42454937
159993,0,0.013841255
159994,0,0.012281707
159995,0,0.009572036
159996,0,0.47825903
159997,1,0.8359737
159998,0,0.48131314
159999,1,0.7591243
160000,1,0.79603684
160001,0,0.16023427
160002,0,0.29354197
160003,0,0.028676301
160004,0,0.45725882
160005,0,0.04402644
160006,0,0.28976214
160007,1,0.7171537
160008,0,0.24265262
160009,1,0.52618444
160010,1,0.63843006
160011,0,0.14262678
160012,1,0.6014631
160013,1,0.7265717
160014,0,0.013047635
160015,0,0.067670055
160016,1,0.7539468
